legislator,rollcall,vote,yea,.rollcall_id,party,.legis_id
MURKOWSKI (R AK),2-42,6,FALSE,352,Republican,4
STEVENS (R AK),2-42,6,FALSE,352,Republican,5
KYL (R AZ),2-42,6,FALSE,352,Republican,6
MCCAIN (R AZ),2-42,6,FALSE,352,Republican,7
PRYOR (D AR),2-42,1,TRUE,352,Democratic,8
LINCOLN (D AR),2-42,1,TRUE,352,Democratic,9
BOXER (D CA),2-42,1,TRUE,352,Democratic,10
FEINSTEIN (D CA),2-42,1,TRUE,352,Democratic,11
ALLARD (R CO),2-42,6,FALSE,352,Republican,12
SALAZAR (D CO),2-42,1,TRUE,352,Democratic,13
DODD (D CT),2-42,1,TRUE,352,Democratic,14
LIEBERMAN (D CT),2-42,1,TRUE,352,Democratic,15
BIDEN (D DE),2-42,1,TRUE,352,Democratic,16
CARPER (D DE),2-42,1,TRUE,352,Democratic,17
MARTINEZ (R FL),2-42,6,FALSE,352,Republican,18
NELSON (D FL),2-42,1,TRUE,352,Democratic,19
CHAMBLISS (R GA),2-42,6,FALSE,352,Republican,20
ISAKSON (R GA),2-42,6,FALSE,352,Republican,21
AKAKA (D HI),2-42,1,TRUE,352,Democratic,22
INOUYE (D HI),2-42,1,TRUE,352,Democratic,23
CRAIG (R ID),2-42,6,FALSE,352,Republican,24
CRAPO (R ID),2-42,6,FALSE,352,Republican,25
DURBIN (D IL),2-42,1,TRUE,352,Democratic,26
OBAMA (D IL),2-42,1,TRUE,352,Democratic,27
BAYH (D IN),2-42,1,TRUE,352,Democratic,28
LUGAR (R IN),2-42,6,FALSE,352,Republican,29
GRASSLEY (R IA),2-42,6,FALSE,352,Republican,30
HARKIN (D IA),2-42,1,TRUE,352,Democratic,31
BROWNBACK (R KS),2-42,6,FALSE,352,Republican,32
ROBERTS (R KS),2-42,6,FALSE,352,Republican,33
BUNNING (R KY),2-42,6,FALSE,352,Republican,34
MCCONNELL (R KY),2-42,6,FALSE,352,Republican,35
VITTER (R LA),2-42,6,FALSE,352,Republican,36
LANDRIEU (D LA),2-42,6,FALSE,352,Democratic,37
COLLINS (R ME),2-42,1,TRUE,352,Republican,38
SNOWE (R ME),2-42,1,TRUE,352,Republican,39
MIKULSKI (D MD),2-42,1,TRUE,352,Democratic,40
SARBANES (D MD),2-42,1,TRUE,352,Democratic,41
KENNEDY (D MA),2-42,1,TRUE,352,Democratic,42
KERRY (D MA),2-42,1,TRUE,352,Democratic,43
STABENOW (D MI),2-42,1,TRUE,352,Democratic,44
LEVIN (D MI),2-42,1,TRUE,352,Democratic,45
DAYTON (D MN),2-42,1,TRUE,352,Democratic,46
COLEMAN (R MN),2-42,6,FALSE,352,Republican,47
COCHRAN (R MS),2-42,6,FALSE,352,Republican,48
LOTT (R MS),2-42,6,FALSE,352,Republican,49
TALENT (R MO),2-42,6,FALSE,352,Republican,50
BOND (R MO),2-42,6,FALSE,352,Republican,51
BAUCUS (D MT),2-42,1,TRUE,352,Democratic,52
BURNS (R MT),2-42,6,FALSE,352,Republican,53
HAGEL (R NE),2-42,6,FALSE,352,Republican,54
NELSON (D NE),2-42,6,FALSE,352,Democratic,55
ENSIGN (R NV),2-42,6,FALSE,352,Republican,56
REID (D NV),2-42,1,TRUE,352,Democratic,57
GREGG (R NH),2-42,6,FALSE,352,Republican,58
SUNUNU (R NH),2-42,6,FALSE,352,Republican,59
MENENDEZ (D NJ),2-42,1,TRUE,352,Democratic,61
LAUTENBERG (D NJ),2-42,1,TRUE,352,Democratic,62
BINGAMAN (D NM),2-42,1,TRUE,352,Democratic,63
DOMENICI (R NM),2-42,6,FALSE,352,Republican,64
CLINTON (D NY),2-42,1,TRUE,352,Democratic,65
SCHUMER (D NY),2-42,1,TRUE,352,Democratic,66
BURR (R NC),2-42,6,FALSE,352,Republican,67
DOLE (R NC),2-42,6,FALSE,352,Republican,68
CONRAD (D ND),2-42,1,TRUE,352,Democratic,69
DORGAN (D ND),2-42,1,TRUE,352,Democratic,70
DEWINE (R OH),2-42,6,FALSE,352,Republican,71
VOINOVICH (R OH),2-42,6,FALSE,352,Republican,72
INHOFE (R OK),2-42,6,FALSE,352,Republican,73
COBURN (R OK),2-42,6,FALSE,352,Republican,74
SMITH (R OR),2-42,6,FALSE,352,Republican,75
WYDEN (D OR),2-42,1,TRUE,352,Democratic,76
SANTORUM (R PA),2-42,6,FALSE,352,Republican,77
SPECTER (R PA),2-42,6,FALSE,352,Republican,78
CHAFEE (R RI),2-42,1,TRUE,352,Republican,79
REED (D RI),2-42,1,TRUE,352,Democratic,80
DEMINT (R SC),2-42,6,FALSE,352,Republican,81
GRAHAM (R SC),2-42,6,FALSE,352,Republican,82
THUNE (R SD),2-42,6,FALSE,352,Republican,83
JOHNSON (D SD),2-42,1,TRUE,352,Democratic,84
FRIST (R TN),2-42,6,FALSE,352,Republican,85
ALEXANDER (R TN),2-42,6,FALSE,352,Republican,86
CORNYN (R TX),2-42,6,FALSE,352,Republican,87
HUTCHISON (R TX),2-42,6,FALSE,352,Republican,88
BENNETT (R UT),2-42,6,FALSE,352,Republican,89
HATCH (R UT),2-42,6,FALSE,352,Republican,90
JEFFORDS (Indep VT),2-42,1,TRUE,352,Independent,91
LEAHY (D VT),2-42,1,TRUE,352,Democratic,92
ALLEN (R VA),2-42,6,FALSE,352,Republican,93
WARNER (R VA),2-42,6,FALSE,352,Republican,94
CANTWELL (D WA),2-42,1,TRUE,352,Democratic,95
MURRAY (D WA),2-42,1,TRUE,352,Democratic,96
BYRD (D WV),2-42,1,TRUE,352,Democratic,97
ROCKEFELLER (D WV),2-42,1,TRUE,352,Democratic,98
FEINGOLD (D WI),2-42,1,TRUE,352,Democratic,99
KOHL (D WI),2-42,1,TRUE,352,Democratic,100
ENZI (R WY),2-42,6,FALSE,352,Republican,101
THOMAS (R WY),2-42,6,FALSE,352,Republican,102
SESSIONS (R AL),2-43,6,FALSE,353,Republican,2
SHELBY (R AL),2-43,6,FALSE,353,Republican,3
MURKOWSKI (R AK),2-43,6,FALSE,353,Republican,4
STEVENS (R AK),2-43,6,FALSE,353,Republican,5
KYL (R AZ),2-43,6,FALSE,353,Republican,6
MCCAIN (R AZ),2-43,6,FALSE,353,Republican,7
PRYOR (D AR),2-43,1,TRUE,353,Democratic,8
LINCOLN (D AR),2-43,1,TRUE,353,Democratic,9
BOXER (D CA),2-43,1,TRUE,353,Democratic,10
FEINSTEIN (D CA),2-43,1,TRUE,353,Democratic,11
ALLARD (R CO),2-43,6,FALSE,353,Republican,12
SALAZAR (D CO),2-43,1,TRUE,353,Democratic,13
DODD (D CT),2-43,1,TRUE,353,Democratic,14
LIEBERMAN (D CT),2-43,1,TRUE,353,Democratic,15
BIDEN (D DE),2-43,1,TRUE,353,Democratic,16
CARPER (D DE),2-43,1,TRUE,353,Democratic,17
MARTINEZ (R FL),2-43,6,FALSE,353,Republican,18
NELSON (D FL),2-43,1,TRUE,353,Democratic,19
CHAMBLISS (R GA),2-43,6,FALSE,353,Republican,20
ISAKSON (R GA),2-43,6,FALSE,353,Republican,21
AKAKA (D HI),2-43,1,TRUE,353,Democratic,22
INOUYE (D HI),2-43,1,TRUE,353,Democratic,23
CRAIG (R ID),2-43,6,FALSE,353,Republican,24
CRAPO (R ID),2-43,6,FALSE,353,Republican,25
DURBIN (D IL),2-43,1,TRUE,353,Democratic,26
OBAMA (D IL),2-43,1,TRUE,353,Democratic,27
BAYH (D IN),2-43,1,TRUE,353,Democratic,28
LUGAR (R IN),2-43,6,FALSE,353,Republican,29
GRASSLEY (R IA),2-43,6,FALSE,353,Republican,30
HARKIN (D IA),2-43,1,TRUE,353,Democratic,31
BROWNBACK (R KS),2-43,6,FALSE,353,Republican,32
ROBERTS (R KS),2-43,6,FALSE,353,Republican,33
BUNNING (R KY),2-43,6,FALSE,353,Republican,34
MCCONNELL (R KY),2-43,6,FALSE,353,Republican,35
VITTER (R LA),2-43,6,FALSE,353,Republican,36
LANDRIEU (D LA),2-43,1,TRUE,353,Democratic,37
COLLINS (R ME),2-43,6,FALSE,353,Republican,38
SNOWE (R ME),2-43,6,FALSE,353,Republican,39
MIKULSKI (D MD),2-43,1,TRUE,353,Democratic,40
SARBANES (D MD),2-43,1,TRUE,353,Democratic,41
KENNEDY (D MA),2-43,1,TRUE,353,Democratic,42
KERRY (D MA),2-43,1,TRUE,353,Democratic,43
STABENOW (D MI),2-43,1,TRUE,353,Democratic,44
LEVIN (D MI),2-43,1,TRUE,353,Democratic,45
COCHRAN (R MS),2-43,6,FALSE,353,Republican,48
LOTT (R MS),2-43,6,FALSE,353,Republican,49
TALENT (R MO),2-43,6,FALSE,353,Republican,50
BOND (R MO),2-43,6,FALSE,353,Republican,51
BAUCUS (D MT),2-43,1,TRUE,353,Democratic,52
BURNS (R MT),2-43,6,FALSE,353,Republican,53
HAGEL (R NE),2-43,6,FALSE,353,Republican,54
NELSON (D NE),2-43,1,TRUE,353,Democratic,55
ENSIGN (R NV),2-43,6,FALSE,353,Republican,56
REID (D NV),2-43,1,TRUE,353,Democratic,57
GREGG (R NH),2-43,6,FALSE,353,Republican,58
SUNUNU (R NH),2-43,6,FALSE,353,Republican,59
MENENDEZ (D NJ),2-43,1,TRUE,353,Democratic,61
LAUTENBERG (D NJ),2-43,1,TRUE,353,Democratic,62
BINGAMAN (D NM),2-43,1,TRUE,353,Democratic,63
DOMENICI (R NM),2-43,6,FALSE,353,Republican,64
CLINTON (D NY),2-43,1,TRUE,353,Democratic,65
SCHUMER (D NY),2-43,1,TRUE,353,Democratic,66
BURR (R NC),2-43,6,FALSE,353,Republican,67
DOLE (R NC),2-43,6,FALSE,353,Republican,68
CONRAD (D ND),2-43,1,TRUE,353,Democratic,69
DORGAN (D ND),2-43,1,TRUE,353,Democratic,70
DEWINE (R OH),2-43,6,FALSE,353,Republican,71
VOINOVICH (R OH),2-43,1,TRUE,353,Republican,72
INHOFE (R OK),2-43,6,FALSE,353,Republican,73
COBURN (R OK),2-43,6,FALSE,353,Republican,74
SMITH (R OR),2-43,6,FALSE,353,Republican,75
WYDEN (D OR),2-43,1,TRUE,353,Democratic,76
SANTORUM (R PA),2-43,6,FALSE,353,Republican,77
SPECTER (R PA),2-43,6,FALSE,353,Republican,78
CHAFEE (R RI),2-43,6,FALSE,353,Republican,79
REED (D RI),2-43,1,TRUE,353,Democratic,80
DEMINT (R SC),2-43,6,FALSE,353,Republican,81
GRAHAM (R SC),2-43,6,FALSE,353,Republican,82
THUNE (R SD),2-43,6,FALSE,353,Republican,83
JOHNSON (D SD),2-43,1,TRUE,353,Democratic,84
FRIST (R TN),2-43,6,FALSE,353,Republican,85
ALEXANDER (R TN),2-43,6,FALSE,353,Republican,86
CORNYN (R TX),2-43,6,FALSE,353,Republican,87
HUTCHISON (R TX),2-43,6,FALSE,353,Republican,88
BENNETT (R UT),2-43,6,FALSE,353,Republican,89
HATCH (R UT),2-43,6,FALSE,353,Republican,90
JEFFORDS (Indep VT),2-43,1,TRUE,353,Independent,91
LEAHY (D VT),2-43,1,TRUE,353,Democratic,92
ALLEN (R VA),2-43,6,FALSE,353,Republican,93
WARNER (R VA),2-43,6,FALSE,353,Republican,94
CANTWELL (D WA),2-43,1,TRUE,353,Democratic,95
MURRAY (D WA),2-43,1,TRUE,353,Democratic,96
BYRD (D WV),2-43,1,TRUE,353,Democratic,97
ROCKEFELLER (D WV),2-43,1,TRUE,353,Democratic,98
FEINGOLD (D WI),2-43,1,TRUE,353,Democratic,99
KOHL (D WI),2-43,1,TRUE,353,Democratic,100
ENZI (R WY),2-43,6,FALSE,353,Republican,101
THOMAS (R WY),2-43,6,FALSE,353,Republican,102
SESSIONS (R AL),2-44,1,TRUE,354,Republican,2
SHELBY (R AL),2-44,1,TRUE,354,Republican,3
MURKOWSKI (R AK),2-44,1,TRUE,354,Republican,4
STEVENS (R AK),2-44,1,TRUE,354,Republican,5
KYL (R AZ),2-44,1,TRUE,354,Republican,6
MCCAIN (R AZ),2-44,1,TRUE,354,Republican,7
PRYOR (D AR),2-44,1,TRUE,354,Democratic,8
LINCOLN (D AR),2-44,1,TRUE,354,Democratic,9
BOXER (D CA),2-44,6,FALSE,354,Democratic,10
FEINSTEIN (D CA),2-44,6,FALSE,354,Democratic,11
ALLARD (R CO),2-44,1,TRUE,354,Republican,12
SALAZAR (D CO),2-44,6,FALSE,354,Democratic,13
DODD (D CT),2-44,6,FALSE,354,Democratic,14
LIEBERMAN (D CT),2-44,1,TRUE,354,Democratic,15
BIDEN (D DE),2-44,6,FALSE,354,Democratic,16
CARPER (D DE),2-44,6,FALSE,354,Democratic,17
MARTINEZ (R FL),2-44,1,TRUE,354,Republican,18
NELSON (D FL),2-44,1,TRUE,354,Democratic,19
CHAMBLISS (R GA),2-44,1,TRUE,354,Republican,20
ISAKSON (R GA),2-44,1,TRUE,354,Republican,21
AKAKA (D HI),2-44,6,FALSE,354,Democratic,22
INOUYE (D HI),2-44,6,FALSE,354,Democratic,23
CRAIG (R ID),2-44,1,TRUE,354,Republican,24
CRAPO (R ID),2-44,1,TRUE,354,Republican,25
DURBIN (D IL),2-44,6,FALSE,354,Democratic,26
OBAMA (D IL),2-44,6,FALSE,354,Democratic,27
BAYH (D IN),2-44,6,FALSE,354,Democratic,28
LUGAR (R IN),2-44,1,TRUE,354,Republican,29
GRASSLEY (R IA),2-44,1,TRUE,354,Republican,30
HARKIN (D IA),2-44,6,FALSE,354,Democratic,31
BROWNBACK (R KS),2-44,1,TRUE,354,Republican,32
ROBERTS (R KS),2-44,1,TRUE,354,Republican,33
BUNNING (R KY),2-44,1,TRUE,354,Republican,34
MCCONNELL (R KY),2-44,1,TRUE,354,Republican,35
VITTER (R LA),2-44,1,TRUE,354,Republican,36
LANDRIEU (D LA),2-44,1,TRUE,354,Democratic,37
COLLINS (R ME),2-44,1,TRUE,354,Republican,38
SNOWE (R ME),2-44,1,TRUE,354,Republican,39
MIKULSKI (D MD),2-44,6,FALSE,354,Democratic,40
SARBANES (D MD),2-44,6,FALSE,354,Democratic,41
KENNEDY (D MA),2-44,6,FALSE,354,Democratic,42
KERRY (D MA),2-44,6,FALSE,354,Democratic,43
STABENOW (D MI),2-44,6,FALSE,354,Democratic,44
LEVIN (D MI),2-44,6,FALSE,354,Democratic,45
COCHRAN (R MS),2-44,1,TRUE,354,Republican,48
LOTT (R MS),2-44,6,FALSE,354,Republican,49
TALENT (R MO),2-44,1,TRUE,354,Republican,50
BOND (R MO),2-44,1,TRUE,354,Republican,51
BAUCUS (D MT),2-44,6,FALSE,354,Democratic,52
BURNS (R MT),2-44,1,TRUE,354,Republican,53
HAGEL (R NE),2-44,1,TRUE,354,Republican,54
NELSON (D NE),2-44,1,TRUE,354,Democratic,55
ENSIGN (R NV),2-44,6,FALSE,354,Republican,56
REID (D NV),2-44,6,FALSE,354,Democratic,57
GREGG (R NH),2-44,1,TRUE,354,Republican,58
SUNUNU (R NH),2-44,1,TRUE,354,Republican,59
MENENDEZ (D NJ),2-44,6,FALSE,354,Democratic,61
LAUTENBERG (D NJ),2-44,6,FALSE,354,Democratic,62
BINGAMAN (D NM),2-44,6,FALSE,354,Democratic,63
DOMENICI (R NM),2-44,1,TRUE,354,Republican,64
CLINTON (D NY),2-44,1,TRUE,354,Democratic,65
SCHUMER (D NY),2-44,6,FALSE,354,Democratic,66
BURR (R NC),2-44,1,TRUE,354,Republican,67
DOLE (R NC),2-44,1,TRUE,354,Republican,68
CONRAD (D ND),2-44,6,FALSE,354,Democratic,69
DORGAN (D ND),2-44,6,FALSE,354,Democratic,70
DEWINE (R OH),2-44,1,TRUE,354,Republican,71
VOINOVICH (R OH),2-44,1,TRUE,354,Republican,72
INHOFE (R OK),2-44,6,FALSE,354,Republican,73
COBURN (R OK),2-44,6,FALSE,354,Republican,74
SMITH (R OR),2-44,1,TRUE,354,Republican,75
WYDEN (D OR),2-44,6,FALSE,354,Democratic,76
SANTORUM (R PA),2-44,1,TRUE,354,Republican,77
SPECTER (R PA),2-44,1,TRUE,354,Republican,78
CHAFEE (R RI),2-44,1,TRUE,354,Republican,79
REED (D RI),2-44,6,FALSE,354,Democratic,80
DEMINT (R SC),2-44,1,TRUE,354,Republican,81
GRAHAM (R SC),2-44,1,TRUE,354,Republican,82
THUNE (R SD),2-44,1,TRUE,354,Republican,83
JOHNSON (D SD),2-44,1,TRUE,354,Democratic,84
FRIST (R TN),2-44,1,TRUE,354,Republican,85
ALEXANDER (R TN),2-44,1,TRUE,354,Republican,86
CORNYN (R TX),2-44,1,TRUE,354,Republican,87
HUTCHISON (R TX),2-44,1,TRUE,354,Republican,88
BENNETT (R UT),2-44,1,TRUE,354,Republican,89
HATCH (R UT),2-44,1,TRUE,354,Republican,90
JEFFORDS (Indep VT),2-44,6,FALSE,354,Independent,91
LEAHY (D VT),2-44,6,FALSE,354,Democratic,92
ALLEN (R VA),2-44,1,TRUE,354,Republican,93
WARNER (R VA),2-44,1,TRUE,354,Republican,94
CANTWELL (D WA),2-44,6,FALSE,354,Democratic,95
MURRAY (D WA),2-44,6,FALSE,354,Democratic,96
BYRD (D WV),2-44,1,TRUE,354,Democratic,97
ROCKEFELLER (D WV),2-44,1,TRUE,354,Democratic,98
FEINGOLD (D WI),2-44,6,FALSE,354,Democratic,99
KOHL (D WI),2-44,6,FALSE,354,Democratic,100
ENZI (R WY),2-44,1,TRUE,354,Republican,101
THOMAS (R WY),2-44,1,TRUE,354,Republican,102
SESSIONS (R AL),2-45,6,FALSE,355,Republican,2
SHELBY (R AL),2-45,6,FALSE,355,Republican,3
MURKOWSKI (R AK),2-45,6,FALSE,355,Republican,4
STEVENS (R AK),2-45,6,FALSE,355,Republican,5
KYL (R AZ),2-45,6,FALSE,355,Republican,6
MCCAIN (R AZ),2-45,6,FALSE,355,Republican,7
PRYOR (D AR),2-45,1,TRUE,355,Democratic,8
LINCOLN (D AR),2-45,1,TRUE,355,Democratic,9
BOXER (D CA),2-45,1,TRUE,355,Democratic,10
FEINSTEIN (D CA),2-45,1,TRUE,355,Democratic,11
ALLARD (R CO),2-45,6,FALSE,355,Republican,12
SALAZAR (D CO),2-45,1,TRUE,355,Democratic,13
DODD (D CT),2-45,1,TRUE,355,Democratic,14
LIEBERMAN (D CT),2-45,1,TRUE,355,Democratic,15
BIDEN (D DE),2-45,1,TRUE,355,Democratic,16
CARPER (D DE),2-45,6,FALSE,355,Democratic,17
MARTINEZ (R FL),2-45,6,FALSE,355,Republican,18
NELSON (D FL),2-45,1,TRUE,355,Democratic,19
CHAMBLISS (R GA),2-45,6,FALSE,355,Republican,20
ISAKSON (R GA),2-45,6,FALSE,355,Republican,21
AKAKA (D HI),2-45,1,TRUE,355,Democratic,22
INOUYE (D HI),2-45,1,TRUE,355,Democratic,23
CRAIG (R ID),2-45,6,FALSE,355,Republican,24
CRAPO (R ID),2-45,6,FALSE,355,Republican,25
DURBIN (D IL),2-45,1,TRUE,355,Democratic,26
OBAMA (D IL),2-45,1,TRUE,355,Democratic,27
BAYH (D IN),2-45,1,TRUE,355,Democratic,28
LUGAR (R IN),2-45,6,FALSE,355,Republican,29
GRASSLEY (R IA),2-45,6,FALSE,355,Republican,30
HARKIN (D IA),2-45,1,TRUE,355,Democratic,31
BROWNBACK (R KS),2-45,6,FALSE,355,Republican,32
ROBERTS (R KS),2-45,6,FALSE,355,Republican,33
BUNNING (R KY),2-45,6,FALSE,355,Republican,34
MCCONNELL (R KY),2-45,6,FALSE,355,Republican,35
VITTER (R LA),2-45,6,FALSE,355,Republican,36
LANDRIEU (D LA),2-45,1,TRUE,355,Democratic,37
COLLINS (R ME),2-45,6,FALSE,355,Republican,38
SNOWE (R ME),2-45,6,FALSE,355,Republican,39
MIKULSKI (D MD),2-45,1,TRUE,355,Democratic,40
SARBANES (D MD),2-45,1,TRUE,355,Democratic,41
KENNEDY (D MA),2-45,1,TRUE,355,Democratic,42
KERRY (D MA),2-45,1,TRUE,355,Democratic,43
STABENOW (D MI),2-45,1,TRUE,355,Democratic,44
LEVIN (D MI),2-45,1,TRUE,355,Democratic,45
COCHRAN (R MS),2-45,6,FALSE,355,Republican,48
LOTT (R MS),2-45,6,FALSE,355,Republican,49
TALENT (R MO),2-45,6,FALSE,355,Republican,50
BOND (R MO),2-45,6,FALSE,355,Republican,51
BAUCUS (D MT),2-45,1,TRUE,355,Democratic,52
BURNS (R MT),2-45,6,FALSE,355,Republican,53
HAGEL (R NE),2-45,6,FALSE,355,Republican,54
NELSON (D NE),2-45,1,TRUE,355,Democratic,55
ENSIGN (R NV),2-45,6,FALSE,355,Republican,56
REID (D NV),2-45,1,TRUE,355,Democratic,57
GREGG (R NH),2-45,6,FALSE,355,Republican,58
SUNUNU (R NH),2-45,6,FALSE,355,Republican,59
MENENDEZ (D NJ),2-45,1,TRUE,355,Democratic,61
LAUTENBERG (D NJ),2-45,1,TRUE,355,Democratic,62
BINGAMAN (D NM),2-45,1,TRUE,355,Democratic,63
DOMENICI (R NM),2-45,6,FALSE,355,Republican,64
CLINTON (D NY),2-45,1,TRUE,355,Democratic,65
SCHUMER (D NY),2-45,1,TRUE,355,Democratic,66
BURR (R NC),2-45,6,FALSE,355,Republican,67
DOLE (R NC),2-45,6,FALSE,355,Republican,68
CONRAD (D ND),2-45,1,TRUE,355,Democratic,69
DORGAN (D ND),2-45,1,TRUE,355,Democratic,70
DEWINE (R OH),2-45,6,FALSE,355,Republican,71
VOINOVICH (R OH),2-45,6,FALSE,355,Republican,72
INHOFE (R OK),2-45,6,FALSE,355,Republican,73
COBURN (R OK),2-45,6,FALSE,355,Republican,74
SMITH (R OR),2-45,6,FALSE,355,Republican,75
WYDEN (D OR),2-45,1,TRUE,355,Democratic,76
SANTORUM (R PA),2-45,6,FALSE,355,Republican,77
SPECTER (R PA),2-45,6,FALSE,355,Republican,78
CHAFEE (R RI),2-45,6,FALSE,355,Republican,79
REED (D RI),2-45,1,TRUE,355,Democratic,80
DEMINT (R SC),2-45,6,FALSE,355,Republican,81
GRAHAM (R SC),2-45,6,FALSE,355,Republican,82
THUNE (R SD),2-45,6,FALSE,355,Republican,83
JOHNSON (D SD),2-45,1,TRUE,355,Democratic,84
FRIST (R TN),2-45,6,FALSE,355,Republican,85
ALEXANDER (R TN),2-45,6,FALSE,355,Republican,86
CORNYN (R TX),2-45,6,FALSE,355,Republican,87
HUTCHISON (R TX),2-45,6,FALSE,355,Republican,88
BENNETT (R UT),2-45,6,FALSE,355,Republican,89
HATCH (R UT),2-45,6,FALSE,355,Republican,90
JEFFORDS (Indep VT),2-45,1,TRUE,355,Independent,91
LEAHY (D VT),2-45,1,TRUE,355,Democratic,92
ALLEN (R VA),2-45,6,FALSE,355,Republican,93
WARNER (R VA),2-45,6,FALSE,355,Republican,94
CANTWELL (D WA),2-45,1,TRUE,355,Democratic,95
MURRAY (D WA),2-45,1,TRUE,355,Democratic,96
BYRD (D WV),2-45,1,TRUE,355,Democratic,97
ROCKEFELLER (D WV),2-45,1,TRUE,355,Democratic,98
FEINGOLD (D WI),2-45,1,TRUE,355,Democratic,99
KOHL (D WI),2-45,1,TRUE,355,Democratic,100
ENZI (R WY),2-45,6,FALSE,355,Republican,101
THOMAS (R WY),2-45,6,FALSE,355,Republican,102
SESSIONS (R AL),2-46,1,TRUE,356,Republican,2
SHELBY (R AL),2-46,1,TRUE,356,Republican,3
MURKOWSKI (R AK),2-46,1,TRUE,356,Republican,4
STEVENS (R AK),2-46,1,TRUE,356,Republican,5
KYL (R AZ),2-46,1,TRUE,356,Republican,6
MCCAIN (R AZ),2-46,1,TRUE,356,Republican,7
PRYOR (D AR),2-46,1,TRUE,356,Democratic,8
LINCOLN (D AR),2-46,1,TRUE,356,Democratic,9
BOXER (D CA),2-46,1,TRUE,356,Democratic,10
FEINSTEIN (D CA),2-46,1,TRUE,356,Democratic,11
ALLARD (R CO),2-46,1,TRUE,356,Republican,12
SALAZAR (D CO),2-46,1,TRUE,356,Democratic,13
DODD (D CT),2-46,6,FALSE,356,Democratic,14
LIEBERMAN (D CT),2-46,1,TRUE,356,Democratic,15
BIDEN (D DE),2-46,1,TRUE,356,Democratic,16
CARPER (D DE),2-46,1,TRUE,356,Democratic,17
MARTINEZ (R FL),2-46,1,TRUE,356,Republican,18
NELSON (D FL),2-46,1,TRUE,356,Democratic,19
CHAMBLISS (R GA),2-46,1,TRUE,356,Republican,20
ISAKSON (R GA),2-46,1,TRUE,356,Republican,21
AKAKA (D HI),2-46,6,FALSE,356,Democratic,22
INOUYE (D HI),2-46,1,TRUE,356,Democratic,23
CRAIG (R ID),2-46,1,TRUE,356,Republican,24
CRAPO (R ID),2-46,1,TRUE,356,Republican,25
DURBIN (D IL),2-46,1,TRUE,356,Democratic,26
OBAMA (D IL),2-46,1,TRUE,356,Democratic,27
BAYH (D IN),2-46,1,TRUE,356,Democratic,28
LUGAR (R IN),2-46,1,TRUE,356,Republican,29
GRASSLEY (R IA),2-46,1,TRUE,356,Republican,30
HARKIN (D IA),2-46,1,TRUE,356,Democratic,31
BROWNBACK (R KS),2-46,1,TRUE,356,Republican,32
ROBERTS (R KS),2-46,1,TRUE,356,Republican,33
BUNNING (R KY),2-46,1,TRUE,356,Republican,34
MCCONNELL (R KY),2-46,1,TRUE,356,Republican,35
VITTER (R LA),2-46,1,TRUE,356,Republican,36
LANDRIEU (D LA),2-46,1,TRUE,356,Democratic,37
COLLINS (R ME),2-46,1,TRUE,356,Republican,38
SNOWE (R ME),2-46,1,TRUE,356,Republican,39
MIKULSKI (D MD),2-46,1,TRUE,356,Democratic,40
SARBANES (D MD),2-46,1,TRUE,356,Democratic,41
KENNEDY (D MA),2-46,1,TRUE,356,Democratic,42
KERRY (D MA),2-46,1,TRUE,356,Democratic,43
STABENOW (D MI),2-46,1,TRUE,356,Democratic,44
LEVIN (D MI),2-46,1,TRUE,356,Democratic,45
COCHRAN (R MS),2-46,1,TRUE,356,Republican,48
LOTT (R MS),2-46,1,TRUE,356,Republican,49
TALENT (R MO),2-46,1,TRUE,356,Republican,50
BOND (R MO),2-46,1,TRUE,356,Republican,51
BAUCUS (D MT),2-46,6,FALSE,356,Democratic,52
BURNS (R MT),2-46,1,TRUE,356,Republican,53
HAGEL (R NE),2-46,1,TRUE,356,Republican,54
NELSON (D NE),2-46,1,TRUE,356,Democratic,55
ENSIGN (R NV),2-46,1,TRUE,356,Republican,56
REID (D NV),2-46,6,FALSE,356,Democratic,57
GREGG (R NH),2-46,1,TRUE,356,Republican,58
SUNUNU (R NH),2-46,1,TRUE,356,Republican,59
MENENDEZ (D NJ),2-46,1,TRUE,356,Democratic,61
LAUTENBERG (D NJ),2-46,1,TRUE,356,Democratic,62
BINGAMAN (D NM),2-46,1,TRUE,356,Democratic,63
DOMENICI (R NM),2-46,1,TRUE,356,Republican,64
CLINTON (D NY),2-46,1,TRUE,356,Democratic,65
SCHUMER (D NY),2-46,1,TRUE,356,Democratic,66
BURR (R NC),2-46,1,TRUE,356,Republican,67
DOLE (R NC),2-46,1,TRUE,356,Republican,68
CONRAD (D ND),2-46,6,FALSE,356,Democratic,69
DORGAN (D ND),2-46,1,TRUE,356,Democratic,70
DEWINE (R OH),2-46,1,TRUE,356,Republican,71
VOINOVICH (R OH),2-46,1,TRUE,356,Republican,72
INHOFE (R OK),2-46,1,TRUE,356,Republican,73
COBURN (R OK),2-46,1,TRUE,356,Republican,74
SMITH (R OR),2-46,1,TRUE,356,Republican,75
WYDEN (D OR),2-46,1,TRUE,356,Democratic,76
SANTORUM (R PA),2-46,1,TRUE,356,Republican,77
SPECTER (R PA),2-46,1,TRUE,356,Republican,78
CHAFEE (R RI),2-46,1,TRUE,356,Republican,79
REED (D RI),2-46,1,TRUE,356,Democratic,80
DEMINT (R SC),2-46,1,TRUE,356,Republican,81
